time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-16 00:00:00+00:00,6,4,30,6
2026-08-17 00:00:00+00:00,2,2,16,6
2026-08-18 00:00:00+00:00,16,7,76,8
2026-08-19 00:00:00+00:00,5,5,50,10
2026-08-20 00:00:00+00:00,19,12,27,11
2026-08-21 00:00:00+00:00,11,9,34,8
2026-08-22 00:00:00+00:00,6,6,8,6
2026-08-23 00:00:00+00:00,4,3,4,4
2026-08-24 00:00:00+00:00,10,8,16,10
2026-08-25 00:00:00+00:00,12,5,27,9
2026-08-26 00:00:00+00:00,14,11,8,6
2026-08-27 00:00:00+00:00,27,15,12,6
2026-08-28 00:00:00+00:00,9,8,133,15
2026-08-29 00:00:00+00:00,4,4,11,5
