time_iso8601,stars_cumulative
2025-05-22 00:00:00+00:00,1
2025-05-29 00:00:00+00:00,2
2025-06-04 00:00:00+00:00,3
2025-06-07 00:00:00+00:00,4
2025-06-09 00:00:00+00:00,6
2025-06-14 00:00:00+00:00,7
2025-06-16 00:00:00+00:00,8
2025-06-26 00:00:00+00:00,9
2025-07-06 00:00:00+00:00,10
2025-07-12 00:00:00+00:00,11
2025-07-25 00:00:00+00:00,12
2025-08-04 00:00:00+00:00,13
2025-08-11 00:00:00+00:00,14
2025-09-15 00:00:00+00:00,15
2025-09-18 00:00:00+00:00,16
2025-09-24 00:00:00+00:00,17
2025-09-25 00:00:00+00:00,18
2025-10-04 00:00:00+00:00,19
2025-10-11 00:00:00+00:00,20
2025-10-14 00:00:00+00:00,21
2025-10-21 00:00:00+00:00,22
2025-10-25 00:00:00+00:00,23
2025-11-02 00:00:00+00:00,24
2025-11-10 00:00:00+00:00,27
2025-11-28 00:00:00+00:00,29
2025-11-29 00:00:00+00:00,30
2025-12-09 00:00:00+00:00,31
2025-12-17 00:00:00+00:00,32
2025-12-23 00:00:00+00:00,33
2026-01-10 00:00:00+00:00,34
2026-01-13 00:00:00+00:00,35
2026-01-19 00:00:00+00:00,36
2026-02-03 00:00:00+00:00,38
2026-02-19 00:00:00+00:00,39
2026-02-22 00:00:00+00:00,40
2026-02-28 00:00:00+00:00,41
2026-03-01 00:00:00+00:00,42
2026-03-04 00:00:00+00:00,44
2026-03-05 00:00:00+00:00,45
2026-03-08 00:00:00+00:00,46
2026-03-10 00:00:00+00:00,47
2026-03-18 00:00:00+00:00,48
2026-03-20 00:00:00+00:00,49
2026-03-21 00:00:00+00:00,50
2026-03-25 00:00:00+00:00,53
2026-03-28 00:00:00+00:00,54
