time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,1,1,38,5
2026-03-09 00:00:00+00:00,3,3,33,12
2026-03-10 00:00:00+00:00,5,5,41,10
2026-03-11 00:00:00+00:00,1,1,32,9
2026-03-12 00:00:00+00:00,3,3,67,12
2026-03-13 00:00:00+00:00,1,1,70,9
2026-03-14 00:00:00+00:00,4,4,38,7
2026-03-15 00:00:00+00:00,1,1,18,3
2026-03-16 00:00:00+00:00,15,5,29,11
2026-03-17 00:00:00+00:00,1,1,38,10
2026-03-18 00:00:00+00:00,18,8,47,16
2026-03-19 00:00:00+00:00,4,4,35,15
2026-03-20 00:00:00+00:00,19,8,26,11
2026-03-21 00:00:00+00:00,1,1,39,16
2026-03-22 00:00:00+00:00,22,8,20,4
2026-03-23 00:00:00+00:00,11,10,54,18
2026-03-24 00:00:00+00:00,39,18,60,22
2026-03-25 00:00:00+00:00,15,8,86,18
2026-03-26 00:00:00+00:00,14,8,40,10
2026-03-27 00:00:00+00:00,13,8,51,17
2026-03-28 00:00:00+00:00,8,7,51,14
2026-03-29 00:00:00+00:00,63,11,26,10
2026-03-30 00:00:00+00:00,12,12,60,9
2026-03-31 00:00:00+00:00,33,15,105,18
2026-04-01 00:00:00+00:00,18,12,53,11
2026-04-02 00:00:00+00:00,25,13,90,17
2026-04-03 00:00:00+00:00,12,7,40,13
2026-04-04 00:00:00+00:00,34,18,15,7
2026-04-05 00:00:00+00:00,20,10,60,11
2026-04-06 00:00:00+00:00,19,14,89,14
2026-04-07 00:00:00+00:00,10,6,29,16
2026-04-08 00:00:00+00:00,22,13,35,15
2026-04-09 00:00:00+00:00,3,3,35,13
2026-04-10 00:00:00+00:00,21,9,92,13
2026-04-11 00:00:00+00:00,39,14,59,15
2026-04-12 00:00:00+00:00,29,12,99,17
2026-04-13 00:00:00+00:00,30,12,93,15
2026-04-14 00:00:00+00:00,48,20,112,29
2026-04-15 00:00:00+00:00,20,9,80,19
